Quarter,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
Q3 1991,28037420,579644,130369,914969,745567,7067396,10431316,1109604,1002713,2592306,3373787,28871,38724,22154
Q4 1991,28127327,579549,130360,916896,745886,7080336,10465562,1109400,1000942,2604031,3404049,29142,38854,22320
Q1 1992,28181477,579425,130604,917302,746571,7082645,10488022,1109978,1001136,2611786,3423217,29239,39055,22497
Q2 1992,28269699,579761,130812,917555,747232,7096705,10528346,1111050,1002831,2620771,3443237,29510,39230,22659
Q3 1992,28371264,580109,130827,919451,748121,7110010,10572205,1112689,1003995,2632672,3468802,30084,39416,22883
Q4 1992,28474177,579624,131201,921619,747746,7129062,10610665,1113209,1002960,2643421,3502209,30034,39422,23005
Q1 1993,28533602,580819,131564,922128,747892,7137514,10629994,1114180,1003443,2650886,3522509,29964,39538,23171
Q2 1993,28600864,580369,131833,922469,748320,7147047,10656924,1115554,1005037,2658293,3541936,30112,39649,23321
Q3 1993,28684764,579977,132177,923925,748812,7156537,10690038,1117618,1006900,2667292,3567772,30337,39820,23559
Q4 1993,28786619,578194,132467,925851,749454,7172016,10728737,1118603,1007016,2678623,3601746,30016,40095,23801
Q1 1994,28835772,577128,132752,925852,749531,7177923,10744762,1119284,1007554,2683346,3623717,29670,40273,23980
Q2 1994,28907448,575670,133030,926109,749473,7184599,10776819,1120863,1008540,2691443,3646632,29682,40383,24205
Q3 1994,29000663,574466,133437,926871,750185,7192403,10819146,1123230,1009575,2700606,3676075,29684,40578,24407
Q4 1994,29096372,572068,133800,927778,750670,7201106,10860406,1124263,1010784,2709011,3711468,29606,40875,24537
Q1 1995,29141902,570563,134060,927395,750819,7205074,10875308,1124947,1011784,2715701,3730564,29882,41114,24691
Q2 1995,29211541,569068,134175,927641,750692,7210305,10906895,1127234,1012795,2724946,3751377,30143,41407,24863
Q3 1995,29302311,567397,134415,928120,750943,7219219,10950119,1129150,1014187,2734519,3777390,30442,41432,24978
Q4 1995,29396274,565008,134971,930028,751174,7228600,10993416,1129547,1015349,2745255,3805461,30875,41470,25120
Q1 1996,29446857,563679,135119,929782,751581,7232952,11009307,1130288,1016198,2753463,3826739,30963,41495,25291
Q2 1996,29514217,561646,135311,929921,751872,7237307,11037392,1132025,1017872,2762903,3849847,31142,41516,25463
Q3 1996,29610218,559698,135737,931327,752268,7246897,11082903,1134196,1018945,2775133,3874317,31387,41741,25669
Q4 1996,29708206,557281,136004,932276,752526,7257616,11130574,1134619,1019408,2789691,3899256,31596,41611,25748
Q1 1997,29751536,555432,135935,932349,752334,7262945,11146270,1134997,1018326,2799561,3914490,31633,41528,25736
Q2 1997,29818012,553115,135931,931832,752447,7267820,11179959,1135846,1017683,2813157,3931056,31659,41668,25839
Q3 1997,29905948,550911,136095,932402,752511,7274611,11227651,1136128,1017902,2829848,3948583,31797,41625,25884
Q4 1997,29994790,547639,136165,932735,752248,7282871,11278893,1135649,1017426,2847526,3964677,31556,41411,25994
Q1 1998,30028506,545769,135938,932549,751969,7286008,11292059,1135770,1017504,2859305,3972821,31510,41222,26082
Q2 1998,30080180,542479,135635,932033,751080,7290497,11322038,1136177,1017105,2876753,3977912,31320,40968,26183
Q3 1998,30155173,539843,135804,931836,750530,7295935,11365901,1137489,1017332,2899066,3983113,31149,40802,26373
Q4 1998,30231639,537908,135908,932740,750708,7305302,11408804,1138328,1017748,2915781,3990451,30877,40635,26449
Q1 1999,30260117,536515,135994,932145,750127,7310238,11419589,1138946,1016883,2926079,3995643,30748,40635,26575
Q2 1999,30314696,534498,136025,932116,750075,7315053,11452857,1140502,1015716,2937393,4002433,30602,40705,26721
Q3 1999,30401286,533329,136281,933784,750601,7323250,11504759,1142448,1014524,2952692,4011375,30785,40638,26820
Q4 1999,30492106,532246,136424,935941,750643,7334722,11559464,1143618,1012582,2966682,4021600,30608,40579,26997
Q1 2000,30525872,531774,136442,934594,750786,7340269,11576994,1144428,1011141,2974517,4026664,30495,40623,27145
Q2 2000,30594030,529574,136289,934291,750543,7347179,11621255,1145873,1009177,2988465,4033319,30382,40455,27228
Q3 2000,30685730,527966,136470,933821,750517,7356951,11683290,1147313,1007565,3004198,4039230,30431,40480,27498
Q4 2000,30783969,526732,136400,934459,750252,7368772,11748348,1148183,1006027,3016947,4049297,30294,40575,27683
Q1 2001,30824441,525299,136377,933463,749715,7373978,11771945,1148456,1003469,3027941,4055229,30147,40624,27798
Q2 2001,30910996,523235,136499,932909,749789,7383844,11827345,1149684,1001643,3041238,4066132,30124,40625,27929
Q3 2001,31020902,522046,136665,932494,749820,7396456,11897534,1151454,1000239,3058108,4076950,30158,40845,28133
Q4 2001,31129119,521581,136876,933336,749295,7411504,11961789,1152150,999175,3078336,4085648,30076,41173,28180
Q1 2002,31169393,521399,136858,933773,748637,7417882,11980361,1152837,998681,3092107,4087191,30153,41176,28338
Q2 2002,31253382,520228,136892,934177,748777,7428016,12030408,1154737,997740,3108360,4094236,30142,41280,28389
Q3 2002,31360079,519481,136880,935179,749372,7441656,12094174,1156680,996807,3128429,4100564,30336,41699,28822
Q4 2002,31451764,519458,137078,935968,749408,7455892,12146053,1157298,996279,3144926,4108400,30266,41874,28864
Q1 2003,31480672,519223,137077,935509,749238,7461516,12156750,1158369,996241,3155103,4110242,30422,42006,28976
Q2 2003,31550768,518813,137120,935800,749265,7471775,12195501,1160863,995748,3169049,4114925,30573,42219,29117
Q3 2003,31644028,518459,137227,937717,749441,7485753,12245039,1163596,996386,3183065,4124482,30941,42600,29322
Q4 2003,31737869,518786,137425,938790,749463,7503709,12291669,1165530,996555,3197858,4134638,31218,42857,29371
Q1 2004,31777704,518739,137510,938997,749190,7510408,12305320,1167656,996558,3209372,4139946,31319,43171,29518
Q2 2004,31846669,517940,137629,938783,749336,7520262,12341656,1170347,997080,3223490,4145951,31401,43210,29584
Q3 2004,31940655,517423,137680,939664,749419,7535590,12391421,1173238,997283,3238668,4155651,31455,43306,29857
Q4 2004,32039959,516906,137695,939884,749243,7553651,12437664,1174675,996993,3260590,4167810,31689,43352,29807
Q1 2005,32076720,516794,137689,939215,749002,7559625,12446466,1176051,995900,3276797,4174018,31771,43442,29950
Q2 2005,32141943,515358,137788,937991,748693,7567307,12477967,1177285,994892,3296271,4182963,31862,43457,30109
Q3 2005,32243753,514332,138064,937926,748057,7581476,12528663,1178264,993500,3321768,4196062,31902,43400,30339
Q4 2005,32353968,513740,138130,938753,747672,7598887,12578931,1179086,993288,3346754,4212666,32128,43526,30407
Q1 2006,32395309,512564,137907,938117,746983,7604258,12587531,1179920,992237,3371823,4217962,32112,43318,30577
Q2 2006,32470303,510961,137846,937664,746337,7615505,12618444,1181635,991228,3396802,4227986,32152,43101,30642
